name;address;postalcode;city;website;contact_person;contact_person_email;phone_number;description;looking_for
DX-Solutions;Gentsestraat 79/101;8530;Harelbeke;https://www.dx-solutions.be;Eline Verplancke;;471388785;"DX-Solutions, een award winnend IT-bedrijf, digitaliseert en automatiseert bedrijfs- en verkoopsprocessen en vertaalt die naar intelligente, platformonafhankelijke applicaties en dit altijd met de duidelijke focus op innovatie.

Wij laten verschillende applicaties en systemen praten met elkaar en genereren output die de business vooruithelpt.";"""We hire for attitude, train for skill""
Als PHP developer bouw je samen met een team mee aan state-of-the-art applicaties en platformen
Wat je bouwt is vlot uitbreidbaar (modulair) en kan groeien/zich aanpassen zonder belemmeringen naar de toekomst
Je werkt in een team, volledig binnen een Agile kader en volgens de scrum rituelen
We gebruiken een JIRA board om de taken van de tweewekelijkse sprints voor het team handig in te plannen, tickets worden door de teamleden zelfstandig opgepikt
Je bent verantwoordelijk voor het uitvoeren van enkele automatische tests en het uitsturen van pull requests
Je komt terecht in een team waarin continu samengewerkt wordt en waarin de geschreven code door elkaar opgevolgd en bijgestuurd wordt"
Renson;Maalbeekstraat 10;8790;Waregem;www.renson.eu;Lieselot Baert;;056/303182;"?Creating Healthy Spaces?, zo luidt de baseline van Renson. Als trendsetter in ventilatie, zonwering en terrasoverkappingen stelt dit dynamisch familiebedrijf sinds 1909 dan ook alles in het teken van een gezonde en comfortabele leef- en werkomgeving. Door sterk in te zetten op innovatie, communicatie en internationalisatie zit Renson de toekomst op de hielen, steeds met de focus op een gezond en comfortabel binnenklimaat in woningen, appartementen, kantoren, scholen en zorginstellingen. De nadruk ligt op duurzame totaalconcepten, die tegemoet komen aan de behoeften op het vlak van energiezuinigheid, akoestiek en design.

Hoewel sterk lokaal verankerd, draagt Renson z?n visie ook steeds internationaler uit, getuige het sterke distributienetwerk dat intussen tot de USA, het Midden-Oosten, Azi‰ en zelfs Australi‰ reikt. Daarmee zet Renson z?n ambitie kracht bij om uit te groeien van een Belgisch bedrijf naar een wereldspeler in ventilatie, zonwering en outdoor-concepten.";"Als groeibedrijf, zijn er tal van uitdagingen op IT/IoT-vlak en kunnen we dus helpende handen gebruiken op tal van innovatieve en uitdagende projecten:
- de opening van een aantal nieuwe sites
- het ontwikkelen van een nieuw klantenportaal/platform
- het ontwikkelen van nieuwe mobile applications
- de implementatie van een nieuw ERP-systeem
- ...
Zin om enorm veel bij te leren met ondersteuning van topteams? Dan ben je bij Renson aan het juiste adres!
"
Soft Naert;Rijksweg 57;8870;IZEGEM;www.soft-naert.be;Jonas Vanassche;;051 30 85 37;Soft Naert bestaat uit een gedreven team van IT-experts die ERP-oplossingen ontwikkelt met een duidelijke en innovatieve meerwaarde. Wij helpen KMO's en multinationals om effici‰nter, klantgerichter en digitaler te werken. ;"Soft Naert is op zoek naar junior-profielen die graag hun tanden zetten in nieuwe en uitdagende IT-projecten. Samen met je collega?s analyseer je de noden van de klant en zet je deze om naar bruikbare/praktische en 
gebruiksvriendelijke programma?s. Dankzij jouw persoonlijke inspanningen kan de klant effici‰nter en kostenbesparender werken.  

Zelfstandig projecten leiden, successen vieren met collega?s ‚n een glimlach toveren op het gezicht van onze klanten, daar draait het bij ons om!

Bij ons krijg je de kans om je IT-skills verder bij te spijkeren en ontwikkel je een mooie expertise op vlak van bedrijfsprocessen. Technologie gemixt met business! We bieden een afwisselende job met flexibele uren binnen een sterke onderneming. 

We zijn steeds op zoek naar:

- ERP-Developers, 
- ERP-Consultants, 
- Studenten die bovenstaande functies willen combineren. 
"
CREATE.eu;Noorwegenstraat 49;9940;Evergem;https://www.create.eu;Davy Hoskens;;3293302290;CREATE.eu uses the latest multimedia technology to create stunning experiences and bring stories to life for a wide audience. Our broad range of skills leads to unique projects that blend creativity, concept creation, content development and hardware integration.;Because of the diversity in our projects and technologies we use, we welcome students that are either intrigued by Interactive and Immersive Content creation (Unity, Unreal Engine, VFX, motion graphics, UI & UX work, AV productions) or data management (backend/frontend development). We can offer a challenging but enriching internship to all kinds of talent. Make sure to check out the projects our website!
Codifly;Lokerenveldstraat 57 bus 2.1;9300;Aalst;https://codifly.be;Arvid De Meyer;;+32 472 37 25 49;"Codifly is een jong bedrijf gespecialiseerd in de ontwikkeling van innovatieve software-toepassingen. Wij helpen bedrijven met het bouwen van complexe hoog-interactieve webapplicaties, mobiele applicaties en IoT-oplossingen, en dit van backend tot user interface. We zijn voornamelijk actief voor startups, maar werken ook aan innovatieprojecten van gevestigde waarden.

Wij geloven sterk in het web en IoT en zijn er vast van overtuigd dat de technologische evolutie hier nog maar net begonnen is. Met als achterliggende visie ?Improve the connected world?, verbeteren we als koplopers dag na dag de verbonden wereld. Zo dragen wij ons steentje bij in de manier waarop we morgen leven, communiceren, werken en spelen. Concreet gebruiken we de laatste JavaScript-technologie‰n (React.js, React-Native, Node.js, ES7, GraphQL, Apollo, Redux ?) voor het bouwen van web- en native applicaties met een sterke visuele identiteit en een optimale gebruikservaring, perfect afgestemd op de noden van de eindgebruiker. ";Tijdens je stage als Javascript Developer zal je samen met ons jong en enthousiast team werken aan de ontwikkeling van software-oplossingen (web/native/server) geschreven met behulp van webtechnologie‰n. Je leert hierbij de toepassing van Agile-methoden, van sprint planning tot project tracking. Je leert verder gebruik te maken van hedendaagse software development tools (Gitlab, JIRA, Confluence, SourceTree/Git) en JavaScript-tools zoals Webpack, Babel, ESLint en VS Code. Je leert groeipijnen te voorkomen door het consistent volgen van best practices zoals codedocumentatie, software testing en preventief refactoren. 
Deloitte Belgium;Luchthaven Brussel Nationaal 1J;1930;Zaventem;https://www2.deloitte.com/be/en.html;Arnout Bouckaert ;;0032 2 749 56 80;As a leading audit and consulting practice in Belgium, Deloitte offers value added services in audit, accounting, tax, consulting, and financial advisory services. In Belgium, Deloitte has more than 4,500 employees in 11 locations across the country, serving national and international companies, from small and middle-sized enterprises, to public sector and non-profit organisations. ;Many interesting job opportunities within our 9 job types: Accounting & Controlling, Audit, Business Support, Consulting, Corporate Finance, Legal, Risk Advisory, Tax, Technology
Decospan;Lageweg 33;8930;Menen;www.decospan.com;Evelien Vanden Brande;;+32 473 88 28 16;"Decospan is al drie generaties een betrokken familiebedrijf met een onverzadigbare passie voor hout. Die voorliefde proberen we door te geven aan iedereen in en rond de onderneming.
Als marktgericht lifestylebedrijf denken we ook graag mee met de voorschrijver, de verwerker en de bouwheer om totaaloplossingen op basis van deze prachtige en hernieuwbare grondstof te ontwikkelen. We dromen er van iedereen te kunnen laten genieten van hout door de tools aan te reiken waarmee dit nobele product eenvoudig kan worden ge‹ntegreerd in onze dagelijkse leefomgeving.
Automatisatie wordt aangestuurd vanuit onze groeiende OT-cel.  De nieuwste technologie‰n worden ingezet om de productie- en logistieke processen zo effici‰nt mogelijk te laten verlopen.  Onze state-of-the-art site in Menen is ons epicentrum en voorbeeld binnen de Decospan groep.  
Digitalisatie verankert zich ook steeds meer in onze organisatie.  Voor al onze stakeholders streven we naar een excellente digitale ""Consumer of Employee experience"".  ";"De domeinen waarbinnen we studenten graag begeleiden zijn:
AX-Application / Analist --> verdere Optimalisatie van onze ERP-projecten + ondersteuning van onze internationale AX-implementatie 
Digital Engineering --> verdere uitbouw en ondersteuning van onze diverse websites, ofwel binnen onze IT afdeling, ofwel binnen onze Marketing afdeling.  Gezien ""Digitalisatie"" hoog op onze strategische agenda staat, liggen hier tal van projecten voor het rapen.
OT Engineering --> wij zoeken steeds naar optimalisaties binnen onze productieprocessen.  Ook zijn er tal van mogelijkheden tot een kwalitatieve stageopdracht.

Past dit minder bij je ambities, maar wil je toch graag aan de slag bij Decospan?  We luisteren graag naar je en wie weet vinden we toch een opportuniteit.  Laat dus zeker van je horen!

Wij staan garant voor een zeer kwalitatieve stagebegeleiding, omwille van 
- het feit dat onze afdelingen momenteel compleet zijn, wat betekent dat je niet meedraait in een 'onderbezet' team en dat er dus voldoende tijd kan vrijgemaakt worden voor jou.
- Decospan groeit daarenboven nog stevig, wat maakt dat we graag investeren in technologie‰n om deze verdere groei te ondersteunen.
En wie weet kan je na je stage aan de slag bij Decospan als Professional, net zoals vele anderen intussen!"
Saasbuilders BV;Moldergem 1;9630;Sint-Denijs-Boekel;https://www.saasbuilders.be;Maarten Lermytte;;477224959;"Ooit zelf je eigen SaaS-oplossing (Software as a Service) willen maken of er aan mee werken?
Dit is de expertise van Saasbuilders. We bouwen SaaS zowel in eigen beheer als voor externe klanten.

Voorbeelden hiervan zijn PatientManager.eu, software voor zelfstandige vroedvrouwen & LogoAdmin.be, software voor logopedisten. Dit telkens met de insteek ""lifestyle business"", ofwel doen waar je echt gelukkig van wordt met voldoende inkomsten. Dus: happy coding!";We zoeken een profiel met interesse in het uitbouwen van een Saas-project. Gaande van uitbouwen van een API vanaf nul t.e.m. het implementeren van de front-end op basis van Tailwind UI templates & het online plaatsen in een schaalbare serveromgeving. Back-end zal je uitbouwen in Laravel (PHP), front-end op basis van VueJS & de serveromgeving in DigitalOcean met deployment via Laravel Forge.
Decat Energy Technics;Pervijzestraat 17;8600;Diksmuide ;www.decat.be;HRM;;051 55 50 01;Decat is een installatiebedrijf gespecialiseerd in technieken zoals verwarming, ventilatie, sanitair, elektrische installatietechnieken, programmatie, hoogspanning,? Voor nieuwbouw of renovatie, openbare of private opdrachten wordt een studie op maat gemaakt en dit voor alle technieken na de ruwbouw. Voor ons is het van groot belang om elk project met de grootste zorg af te werken. Kwaliteit en klantgerichtheid komen hierbij op de eerste plaats. Als installatiebedrijf met erkenning klasse 8 functioneren we als een technische integrator-dienstverlener. In ons bedrijf staat een team van gedreven medewerkers dagelijks klaar om opdrachten veilig, op tijd en vakkundig uit te voeren. Projectingenieurs ontwikkelen oplossingen en begeleiden onze projecten, ondersteund door de diensten magazijn en onderhoud, de tekenafdeling, administratie, facturatie, boekhouding, personeel en vorming. Met een gezonde dosis ambitie wordt verder gebouwd aan een verantwoorde bedrijfsexpansie met gemotiveerde projectleiders en toptechniekers. Naast onze site in Pervijze, zijn Veurne en Aalter bijkomende technische uitvalsbasissen om klanten een vlotte service te garanderen.;Om ons dynamisch team verder uit te bouwen, zijn wij actief op zoek naar nieuwe medewerkers op onze verschillende sites te Pervijze, Veurne en Aalter! Samen met U gaan we op zoek naar de geschikte functie. Met onze divers openstaande technische, alsook administratieve vacatures, zijn er tal van mogelijkheden ! Nieuwsgierig en/of op zoek naar een nieuwe uitdaging in een sterk groeiend bedrijf met dynamische sfeer? Neem snel een kijkje via https://www.decat.be/nl/jobs. Hopelijk tot binnenkort! 
Dropsolid N.V.;Moutstraat 60;9000;Gent;https://dropsolid.com/nl;Steven Pepermans;;09 395 02 90;Dropsolid is een bedrijf dat marketing, business en technology combineert. Door gebruik te maken van een open-source platform (Drupal) cre‰ren we sites die gebruikt maken van een slimme AI. Dropsolid is een jong en groeiend bedrijf dat op 5 pilaren steunt: Trust, Challenge, Grow, Help en Enjoy. Iedereen van het bedrijf draagt deze waarden met zich mee.;"Wij zoeken de volgende 3 profielen: 
- Stagiair R&D engineer met focus op dataprocessing & machine learning
- Stagiair systeem- en netwerkbeheer
- Stagiair Junior Drupal Developer"
Van Gils;Holstraat 56;8790;Waregem;www.vangils.pro;Hilde Balcaen;;32497849022;"?WHEN AUDIOVISUAL MAGIC BECOMES REALITY? 

Magie, dat is wat wij beloven aan onze klanten en ook waar wij zelf met passie voor gaan. De combinatie van heldere, impactvolle audio en kleurrijk, impressionant beeld zorgt voor een ware belevenis bij de mensen thuis en binnen bedrijven.  

Van Gils is specialist in het integreren en automatiseren van complete TV, audio en netwerk installaties voor zowel particulieren als bedrijven. Onze visie steunt op innovatie en topkwaliteit in combinatie met een perfecte installatie en uiterst verzorgde service. We durven het aan om binnen de sector het voortouw te nemen en actief in te spelen op de uitdagingen voor de toekomst.
We beginnen met het luisteren naar de noden en wensen van de klant. We stellen de integratie samen, werken deze uit en plaatsen deze. Dit alles in samenspraak met de klant en alle betrokken partijen.
 Van Gils vertaalt de complexe taal van audio en video naar gebruiksvriendelijke en klare praat. De klant ervaart een fantastische kijkervaring met een eenvoudige bediening. Ook na plaatsing blijven we paraat staan voor onze klanten met technische ondersteuning en advies. ";"Ben jij een tech wizard met een passie voor het audiovisuele? Installateur audiovisuele- en netwerkintegraties 
Van Gils-audiovisueel systeemintegrator.
Werk mee aan audiovisuele installaties die magie tot bij de mensen thuis brengt en binnen bedrijven. Als installateur sta je in voor de volledige integratie van audiovisuele- en netwerkintegraties. Je gaat zelfstandig bij klanten op locatie waar je enerzijds bestaande integraties op punt stelt en anderzijds nieuwe totaal belevenissen monteert, programmeert en operationeel maakt. Vari‰teit gegarandeerd.

Kortom:
øInstalleren en monteren apparatuur
øProgrammeren en integreren apparatuur
øProgrammeren aansturingslaag
øConfigureren netwerken (basis)
øTechnische interventies

Jouw profiel:
øSterke interesse in AV
øKennis van netwerkintegraties is een pluspunt
øKlantvriendelijk/ sociaal
øZelfstandig 
øOndernemend/ neemt initiatief/ pro-actief
øOrdelijk

Wat kan je verwachten:
Je mag rekenen op een uitdagende en veelzijdige functie. Daarnaast kom je werken in een prettige informele sfeer bij een professionele organisatie met ruimte voor initiatief en persoonlijke groei, waar service en kwaliteit belangrijke pijlers zijn.
Van Gils biedt een motiverend salaris pakket, in verhouding tot jouw kwalificaties en ervaring, aangevuld met extralegale voordelen:
øFilou-moment op vrijdagnamiddag (van zodra de omstandigheden het weer toelaten)
øMotiverende bonus, resultaat gerelateerd
øBedrijfswagen met tankkaart
øLaptop
øIPad
øGSM abonnement;
øDKV hospitalisatie verzekering
"
IBM Belgium;Bourgetlaan 42;1130;Brussel;https://www.ibm.com/be-en;Frank Seye;;475606743;"IBM Global Business Services (GBS); enables enterprises to make smarter decisions and providing unparalleled client and consumer experiences via Cognitive data analytics, cloud technology and mobile app development. IBM GBS is a team of business, strategy and technology consultants who help clients envision their future as cognitive enterprises, all supported by the industry?s most sophisticated talent model. With global reach, outcome-focused methodologies and deep industry expertise, GBS empowers clients to digitally reinvent their business and get the competitive edge in the cognitive era in over 170 countries.

This is your opportunity to join a company where you can make the world work better ? we are IBMers, and that?s what we do. World-class learning opportunities, mentoring and a flexible work environment ? you will find a wealth of opportunities within IBM to create the career you?ve always imagined. And there are no limits to the opportunities we offer ? from design to analytics, consulting to sales, development to marketing.

Industries are converging. Boundaries are blurring. Traditional competitors are reinventing themselves. We are changing how we create, collaborate, analyze, and engage. IBM is a leader in this global transformation, and there is no better place to launch or further your career.";"An internship is an investment in your future and increases your employability.
Completing an internship at IBM gives you the opportunity to work hands-on in a professional environment.  In the past we have had positions as Mobile Application Developer, Watson Cognitive / Machine Learning consultant, Data Engineer, Life Sciences consultant, .
You will gain professional experience by working on client projects and use cases, mostly in our Brussels Offices but sometimes at client site.  You will regularly interact with other IT specialists, consultants and client representatives, who will teach you how to network and communicate in a professional environment.  Projects are fast-paced, so you will learn all about time management.  In short: the internship will lay the foundation for your career.  Yes ? possibly at IBM.
"
Inuits BV;Essensteenweg 31;2930;Brasschaat;https://inuits.eu/;Arne Kerremans;;491887978;"INUITS is een Europees Open Source bedrijf met een sterk team van professionals, actief aan de frontlinie van de DevOps beweging. We zijn innovatief en van mening dat grenzen verlegd moeten worden. Wij willen dat onze werknemers bijleren, zichzelf verbeteren en een stuwende kracht worden binnen het Inuits gebeuren. Door te genieten van hun job en het werk dat ze leveren, inspireren onze consultants zichzelf en andere rondom hen dagelijks.
Inuits staat aan de leiding van de implementatie van Open Source technologie‰n in de bedrijfswereld binnen Belgi‰, Nederland, Tsjechi‰ en Oekra‹ne. We helpen organisaties van begin tot einde bij het ontwerpen, implementeren, toepassen en managen van stabiele en meetbare structuren, gebaseerd op Open Source technologie‰n. #DevOps
Wij geloven sterk in een open en persoonlijke aanpak bij elk zakelijk probleem, we implementeren daarom onze Open Source mind-set in alles wat we doen. We zijn een Open Source integrator, continu op zoek naar mensen met ervaring/interesse in verschillende programmeer- en scriptingtalen en Linux-Distributies.
Developers, DevOps engineers, Linux system engineers en alles daartussen zijn welkom.
Binnen de stages zul je verschillende rollen aannemen. Je zal ingeschakeld worden als project manager, als UI/UX specialist, als developer, als functionele analyst, etc. We zijn zeer benieuwd naar eigen inbreng, jou mening telt! Plan als scrum master de sprints, de stand ups, bepaal de backlog, stuur het project de juiste richting in, en zoveel meer!";"We zijn een Open Source integrator, continu op zoek naar mensen met interesse in verschillende programmeer- en scriptingtalen en Linux-Distributies. Developers, DevOps engineers, Linux system engineers en alles daartussen zijn welkom.
Qua opdrachten en projecten doen we bij Inuits echt wel knappe dingen. Zo hebben we in het verleden projecten uitgewerkt voor politie Antwerpen, Brussels airport, Sportoase, Universiteit Gent, ... We moedigen ook de proactieve studenten aan die zelf met hun idee‰n naar ons komen.
Het niveau ligt bij onze starters en stagaires altijd zeer hoog. We zijn veeleisend op het vlak van Linux kennis en verwachten een passie voor open-source. Voor studenten en starters die nog een beetje achterlopen op het vlak van Linux etc. , bieden we ook een bootcamp aan. Hier geven een paar topexperts in de DevOps-en Linuxwereld je de nodige boost om helemaal mee te zijn en aan volle 100% je carriŠre bij Inuits te starten!

Meer info:
https://inuits.eu/
Jobs@inuits.eu"
delaware Belux;Kapel Ter Bede 86;8500;Kortrijk;https://www.delaware.pro/nl-BE/Careers/junior;Sihame Haddaoui;;+32 476 71 22 66;Wij zijn een IT consultancy bedrijf. Wij halen graag het beste in technologie (en in mensen!) naar boven om onze klanten te helpen hun bedrijfsprocessen te verbeteren. We geloven echt dat innovatie en technologie hand in hand gaan, dus we zijn altijd op zoek naar nieuwe, opwindende tools. Hoe dan ook, als consultants zijn we trots op de oplossingen die we bouwen en de diensten die we aanbieden.;delaware gelooft in het geven van elke kans aan jonge professionals om te ontdekken wat en wie ze willen worden. Daarom hebben we een uitgebreid stageprogramma. Als je op zoek bent naar een stage om je studie af te ronden of gewoon een eerste echte werkervaring wilt, zelfs als je nog niet weet welke kant je op wilt na het afstuderen, ben je bij delaware aan het juist adres! We bieden elk jaar een brede waaier aan technische innovatieprojecten aan. We luisteren meestal gewoon naar wat jouw superkracht is en zoeken een team of project dat bij jouw interesses past. Front-end, back-end, app- of webontwikkeling, business, supply chain, financi‰n, operations, IoT, SAP, AI, data - noem maar op! De kans is groot dat we voor jou een uitdagende, echte case hebben om aan te werken.
AllPhi NV;Guldensporenpark 24;9820;Merelbeke;www.allphi.eu;Alien Carlier;;0497 64 92 83;AllPhi is een onafhankelijk consultancy bedrijf gespecialiseerd in software ontwikkeling met een duidelijke focus op technologie (Microsoft .NET). Vertrekkend vanuit persoonlijke competenties en voorkeuren wordt er gezocht naar de perfecte match tussen opdracht en consultant. AllPhi is opgericht in 2011. Het eerste kantoor opende in Westerlo en al snel volgde er een kantoor in Gent. Vandaag leveren wij diensten in heel Vlaanderen en daarbuiten.;"Wij zijn op zoek naar gedreven en gepassioneerde .NET developers! Consultancy heeft een heel belangrijkste voordeel. Consultants werken op diverse projecten en in verschillende soorten omgevingen. Dit wil zeggen dat je niet alleen leert wat je sterke kanten zijn maar ook in welke omgeving je wel of minder graag werkt.

Je zal nooit ergens intern vastroesten en je kan zonder zorgen proeven van wat de markt te bieden heeft.

Verder wordt al je project administratie voor jou gedaan. Je wordt ondersteund door een bedrijf dat jou projecten aanbiedt die mee in lijn liggen met je persoonlijk ontwikkel-traject.

"
Co-libry;Antoinette Vandeputtepad 25;9000;Gent;https://co-libry.com/;Sam Debeuf;;474952441;Co-libry is een Gentse tech start-up. We bieden AI/ML/data gedreven oplossingen aan voor real-estate/job/car portalen en marktplaatsen. We zijn een jong team die heel hard inzetten op schoolverlaters en stagiairs/job studenten aangezien jullie de toekomst zijn van onze maatschappij. ;"Wij zijn op zoek naar een data enthousiast problem-solver die op de hoogte is van de mogelijkheden van AI, een pragmatische denker die het einddoel nooit uit het oog verliest. 

Dit ben jij
    ? Een sterke analytische achtergrond 
    ? Minimum technische expertise in Python
    ? Optionele expertise altijd welkom in 
        ? Git
        ? Google Cloud Platform
        ? SQL
        ? Scala
        ? PySpark

Co-libry biedt je
    ? Ervaring opbouwen in alle aspecten van data
    ? Samenwerken met een jong en dynamisch team
    ? De kans om na je stage meteen je eerste job bij Co-libry te versieren

Als we er labels op moeten plakken: data scientist, data engineer, ML engineer, AI engineer, data analyst, backend application developer, ..."
Calibrate;Veldkant 4;2550;Kontich;https://www.calibrate.be;Tom Hollevoet;;472772873;Calibrate is een digitaal webagentschap gevestigd in Gent, Kortrijk, Antwerpen en Leuven met meer dan 50 werknemers. Calibrate is gespecialiseerd in custom webdevelopment (Drupal, Symfony en Laravel) en voorziet begeleiding over het hele digitale proces.;Calibrate zoekt PHP backend- en frontend programmeurs voor de bouw van de website, alsook analisten, designers en marketeers voor het denk en groei werk van de website. We werken voor klanten in de private en publieke sector, een overzicht van onze klanten zijn terug te vinden op https://www.calibrate.be/nl/onze-klanten
Sweet Mustard;Nijverheidskaai 3/11;8500;Kortrijk;www.sweetmustard.be;Jan Sem;;468175215;"Co-creatie software oplossingen op maat.

Sweet Mustard bestaat uit ware teamspelers die de ambitie koesteren om bij elke stap van de weg digitale technologie te omarmen. We helpen bedrijven hun ambitieuze toekomst te realiseren. We willen een open samenwerking met bedrijven die bereid zijn te groeien volgens nieuwe modellen, nieuwe regels en verder denken dan enkel het product. Als je het ons vraagt, werken de knapste Vlaamse koppen met ons samen aan oplossingen van wereldklasse, dicht bij huis.";"Ben je gemotiveerd, ervaren, leergierig, op zoek naar een nieuwe ""mosterd getinte"" belevenis en wil je kost wat kost deel uitmaken van ons team?

Geen zorgen, we zijn altijd op zoek naar getalenteerde en gedreven personen! Stel jezelf voor, verras ons en we zullen contact opnemen."
Eforge BV;Blokkestraat 41B bus 1.1;8550;Zwevegem;www.robaws.be;Line Ververken;;0494/47.07.74;Robaws is een start-up die een softwarepakket voor de bouwsector aanbiedt waardoor o.a. de facturatie, planning en CRM geautomatiseerd worden. Robaws werkt met de meest innovatieve technologie‰n waardoor het zich sterk onderscheidt van andere systemen vandaag op de markt. In het kader van onze groeiambities gaat Robaws op zoek naar een gedreven ?Java Developer?. Ben jij op zoek naar een unieke uitdaging waarbij je een bepalende rol kan spelen in de uitbouw van een jonge organisatie? Kom dan zeker langs tijdens de stagemarkt!;"- Je ontwikkelt mee aan de Java-applicatie van Robaws. Je bent betrokken doorheen de hele production Life Cycle en schrijft, codeert, test, analyseert en evalueert de applicatie.
- Je zal werken in een Agile/Scrum omgeving.
- Je bent betrokken bij de ontwikkeling van zowel de frontend als backend, en gaat met een brede waaier van technologie‰n aan de slag, met o.a. Java 11, Spring Boot, mobile, AWS, cloud, GWT en Flutter.
"
SpotIT;Guldensporenpark 30C;9820;Merelbeke;https://www.spotit.be;Thomas Boedt;;479372433;SpotIT wil een trusted advisor zijn voor zijn klanten. We werken met onze klanten samen aan innovatieve security- en netwerkarchitecturen die een groot strategisch voordeel en inzicht bieden. SpotIT begint een reis met elke klant en bouwt een langdurige relatie op gebaseerd op visie, gespecialiseerde kennis, toewijding en vertrouwen.;Wij zoeken studenten die willen meewerken aan het onderzoek van de laatste nieuwe security tools en producten, deze te installeren, evalueren en beschrijven.
Dataline Holding;Autobaan 21;8210;Loppem;www.dataline.eu;Inge De Boever;;50832000;"Welkom bij Dataline: werken bij een Europese marktleider in de printmedia industrie.
Ben je klaar voor een bedrijfscultuur waarin enthousiasme, plezier, betrokkenheid en ontwikkeling centraal staat? Volgens ons zijn dit de ingredi‰nten om naast fijn werken ook uitstekende resultaten neer te kunnen zetten. Zo ontstaat software waarmee we onze businesspartners ‚cht verder helpen. 
Met meer dan 1.000 klanten en 10.000 gebruikers in 23 landen is Dataline Solutions met MultiPress de onbetwiste europese marktleider in de automatiseringssoftware voor de printmedia industrie.  Onze medewerkers werken vanuit Brugge-Loppem (Belgi‰), Hasselt (Belgi‰), Limmen-Amsterdam (Nederland), Straatsburg, Parijs (Frankrijk) en Willingen (Duitsland).

Dataline is een sterke groeier. Wij hebben de uitgesproken ambitie om in heel Europa de MultiPress software tot d‚ referentie te maken. Stap voor stap lukt ons dat. Met jouw talent er bij lukt dat nog beter.
Dataline groeit, samen met jou.";"- PHP Developer
Ben jij de Superhero op het vlak van PHP? Dan is Dataline op zoek naar jou!
Als (Senior) PHP Developer maak je deel uit van een getalenteerd team dat het speerpunt vormt van onze internationale ambities. Je werkt samen met je collega?s aan innovatieve projecten voor ons pakket MultiPress vanuit het hoofdkantoor te Brugge. Van het meebouwen van een nieuwe applicatie tot het upgraden van een bestaand platform, bij Dataline krijg je een uitgebreid en gevarieerd takenpakket. In jouw gereedschapskist: PHP, SQL en PHP frameworks. Met deze kennis breng je al je projecten tot een goed einde. Je overlegt en werkt samen met je collega?s volgens de scrummethodologie.
- Digital Marketing Co”rdinator
Ben jij een digitale duizendpoot met technische en creatieve skills en gepassioneerd over alles wat gelinkt is met het online gebeuren? Als Digital Marketeer ben je verantwoordelijk voor de online communicatie en conversie optimalisatie van de Dataline website. Daarnaast streef je naar een optimale online bezoekerservaring en zorg je samen met het marketingteam voor de juiste inzet van de online marketing kanalen. Jouw focus ligt specifiek op volgende vakgebieden: database marketing, remarketing, marketing automation, Linkedin, e-mail campagnes, analyses & online reporting.
- Senior Frontend Developer
Ben jij de Superhero op het vlak van Javascript, CSS en HTML? Blaas jij gebruikers van de sokken met een Frontend die ‚cht tot leven komt? Ga je enkel voor de perfecte user experience? Is pixel-perfect jouw ?middle name?? Dan is Dataline op zoek naar jou!
Als Frontend Developer maak je deel uit van een getalenteerd team dat het speerpunt vormt van onze internationale ambities. Je staat mee aan de wieg van het cloud development project waarmee we met MultiPress, d‚ #1 business software voor de grafische industrie in de Benelux, Europa willen veroveren.
- Frontend Application Developer
Hou jij van nieuwe uitdagingen? Kennen HTML, CSS en Angular geen geheimen meer voor jou? Is pixel-perfect jouw ?middle name? Dan is Dataline op zoek naar jou!
Als Frontend Developer maak je deel uit van de afdeling Development. Je staat mee aan de wieg van een nieuwe cloudontwikkeling van ‚‚n van onze applicaties. De bedoeling is om een webclient te cre‰ren voor onze bestaande business-to-business omgeving.
- Stagairs
Ben jij de stagiair Informatica, Digital Marketing, Event Marketing of Grafimediabeleid die we zoeken? Solliciteer dan meteen en maak je klaar om enorm veel plezier te beleven!
- Meer openstaande vacatures te ontdekken via https://dataline.recruitee.com/"
Secure Code Warrior BVBA;Baron Ruzettelaan 5, bus 3;8310;Assebroek;www.securecodewarrior.com;Melanie Muller;;498404625;"Secure Code Warrior is the secure coding company.

Secure Code Warrior makes secure coding a positive and engaging experience for developers as they increase their skills. We guide each coder along their own preferred learning pathway, so that security-skilled developers become the everyday superheroes of our connected world.
?
We succeed through a human approach that uncovers the secure developer inside of every coder - helping development teams ship quality code faster, so they can focus on creating amazing, safe software for our world.";Various projects for our secure coding gamified platform.
